Speed,Torque
5340.90909090909,521.914893617021
5381.31313131313,518.822149225716
5421.71717171717,515.775500698649
5462.12121212121,512.773925104022
5502.52525252525,509.816429554842
5542.92929292929,506.902050113895
5583.33333333333,504.029850746269
5623.73737373737,501.198922317018
5664.14141414141,498.408381631743
5704.54545454545,495.657370517928
5744.94949494949,492.945054945055
5785.35353535354,490.27062418158
5825.75757575758,487.633289986996
5866.16161616162,485.032285837279
5906.56565656566,482.466866182129
5946.9696969697,479.936305732484
5987.37373737374,477.439898776887
6027.77777777778,474.976958525346
6068.18181818182,472.546816479401
6108.58585858586,470.148821827201
6148.9898989899,467.782340862423
6189.39393939394,465.446756425949
6229.79797979798,463.141467369274
6270.20202020202,460.865888038663
6310.60606060606,458.619447779112
6351.0101010101,456.401590457256
6391.41414141414,454.211774002371
6431.81818181818,452.049469964664
6472.22222222222,449.914163090129
6512.62626262626,447.805350911206
6553.0303030303,445.722543352601
6593.43434343434,443.665262351589
6633.83838383838,441.633041492196
6674.24242424242,439.625425652668
6714.64646464646,437.641970665664
6755.05050505051,435.682242990654
6795.45454545455,433.745819397993
6835.85858585859,431.832286664204
6876.26262626263,429.941241278002
6916.66666666667,428.072289156627
6957.07070707071,426.225045372051
6997.47474747475,424.399133886684
7037.87878787879,422.59418729817
7078.28282828283,420.809846592936
7118.68686868687,419.045760908123
7159.09090909091,417.301587301587
7199.49494949495,415.576990529639
7239.89898989899,413.871642832229
7280.30303030303,412.185223725286
7320.70707070707,410.517419799931
7361.11111111111,408.867924528302
7401.51515151515,407.236438075742
7441.91919191919,405.622667119104
7482.32323232323,404.026324670942
7522.72727272727,402.447129909366
7563.13131313131,400.884808013356
7603.53535353535,399.339090003321
7643.93939393939,397.80971258672
7684.34343434343,396.296418008544
7724.74747474748,394.798953906505
7765.15151515152,393.317073170732
7805.55555555556,391.850533807829
7845.9595959596,390.399098809141
7886.36363636364,388.962536023055
7926.76767676768,387.54061803122
7967.17171717172,386.133122028526
NaN,NaN
-5340.90909090909,521.914893617021
-5381.31313131313,518.822149225716
-5421.71717171717,515.775500698649
-5462.12121212121,512.773925104022
-5502.52525252525,509.816429554842
-5542.92929292929,506.902050113895
-5583.33333333333,504.029850746269
-5623.73737373737,501.198922317018
-5664.14141414141,498.408381631743
-5704.54545454545,495.657370517928
-5744.94949494949,492.945054945055
-5785.35353535354,490.27062418158
-5825.75757575758,487.633289986996
-5866.16161616162,485.032285837279
-5906.56565656566,482.466866182129
-5946.9696969697,479.936305732484
-5987.37373737374,477.439898776887
-6027.77777777778,474.976958525346
-6068.18181818182,472.546816479401
-6108.58585858586,470.148821827201
-6148.9898989899,467.782340862423
